method,risk_budget,covered,ci95_covered,success,ci95_success,containment_rate,ci95_containment_rate,cascade_rate,ci95_cascade_rate,state_corruption,ci95_state_corruption,subgoal_corruption,ci95_subgoal_corruption,damage_rate,ci95_damage_rate,false_halt,ci95_false_halt,missed_failure,ci95_missed_failure,recovery_success,ci95_recovery_success,escalation_precision,ci95_escalation_precision,containment_latency,ci95_containment_latency,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,groups
hierarchical_pomdp_monitor,0.24,0.890972,0.00324,0.590972,0.015228,0.41875,0.010565,0.13993,0.007032,0.057465,0.0077,0.062327,0.004824,0.032813,0.004877,0.041146,0.005785,0.353819,0.011654,0.349826,0.015752,0.558681,0.017512,0.702632,0.000308,0.040275,0.000102,0.324306,0.016645,0.20253,0.02249,10
hierarchical_pomdp_monitor,0.3,0.995139,0.001222,0.658681,0.017419,0.460938,0.011845,0.13993,0.007032,0.057465,0.0077,0.062327,0.004824,0.032813,0.004877,0.041146,0.005785,0.288542,0.014047,0.385417,0.017388,0.558681,0.017512,0.702632,0.000308,0.040275,0.000102,0.256597,0.018011,0.307187,0.026052,10
local_safety_filter,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.255035,0.01073,0.148958,0.01448,0.155729,0.009928,0.097396,0.008419,0.100347,0.008301,1.0,0.0,0.0,0.0,0.293924,0.010797,0.844297,0.000382,0.103232,0.000106,0.915278,0.00661,-1.047928,0.016082,10
local_safety_filter,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.255035,0.01073,0.148958,0.01448,0.155729,0.009928,0.097396,0.008419,0.100347,0.008301,1.0,0.0,0.0,0.0,0.293924,0.010797,0.844297,0.000382,0.103232,0.000106,0.915278,0.00661,-1.045528,0.016082,10
local_safety_filter,0.24,0.01632,0.00239,0.007812,0.002648,0.004861,0.001323,0.255035,0.01073,0.148958,0.01448,0.155729,0.009928,0.097396,0.008419,0.100347,0.008301,0.990799,0.002382,0.005729,0.001526,0.293924,0.010797,0.844297,0.000382,0.103232,0.000106,0.907466,0.008274,-1.031772,0.016218,10
local_safety_filter,0.3,0.208507,0.00107,0.107118,0.003798,0.071875,0.007959,0.255035,0.01073,0.148958,0.01448,0.155729,0.009928,0.097396,0.008419,0.100347,0.008301,0.86493,0.004503,0.061979,0.006825,0.293924,0.010797,0.844297,0.000382,0.103232,0.000106,0.80816,0.009588,-0.863593,0.01765,10
option_termination_monitor,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.187847,0.011018,0.094445,0.004369,0.103993,0.007532,0.059722,0.007796,0.070313,0.008877,1.0,0.0,0.0,0.0,0.465451,0.012523,0.764063,0.000314,0.074597,0.00014,0.915278,0.00661,-0.879035,0.008074,10
option_termination_monitor,0.18,0.052951,0.002446,0.031771,0.001901,0.022396,0.002977,0.187847,0.011018,0.094445,0.004369,0.103993,0.007532,0.059722,0.007796,0.070313,0.008877,0.959202,0.003297,0.021875,0.003594,0.465451,0.012523,0.764063,0.000314,0.074597,0.00014,0.883507,0.007037,-0.822215,0.008821,10
option_termination_monitor,0.24,0.401389,0.003395,0.238194,0.006146,0.167882,0.008889,0.187847,0.011018,0.094445,0.004369,0.103993,0.007532,0.059722,0.007796,0.070313,0.008877,0.717535,0.007192,0.144965,0.008978,0.465451,0.012523,0.764063,0.000314,0.074597,0.00014,0.677084,0.009046,-0.479932,0.01259,10
option_termination_monitor,0.3,0.73316,0.001608,0.424305,0.008715,0.290972,0.008581,0.187847,0.011018,0.094445,0.004369,0.103993,0.007532,0.059722,0.007796,0.070313,0.008877,0.502257,0.012712,0.258854,0.011142,0.465451,0.012523,0.764063,0.000314,0.074597,0.00014,0.490973,0.012162,-0.173896,0.014246,10
oracle_containment_supervisor,0.12,1.0,0.0,0.915278,0.00661,0.704167,0.013093,0.01875,0.002992,0.001736,0.001014,0.001562,0.000794,0.001562,0.000794,0.001736,0.001014,0.100521,0.007235,0.590104,0.015704,0.783854,0.010362,0.481799,0.000357,0.003171,3.5e-05,0.0,0.0,0.921614,0.008314,10
oracle_containment_supervisor,0.18,1.0,0.0,0.915278,0.00661,0.704167,0.013093,0.01875,0.002992,0.001736,0.001014,0.001562,0.000794,0.001562,0.000794,0.001736,0.001014,0.100521,0.007235,0.590104,0.015704,0.783854,0.010362,0.481799,0.000357,0.003171,3.5e-05,0.0,0.0,0.924014,0.008314,10
oracle_containment_supervisor,0.24,1.0,0.0,0.915278,0.00661,0.704167,0.013093,0.01875,0.002992,0.001736,0.001014,0.001562,0.000794,0.001562,0.000794,0.001736,0.001014,0.100521,0.007235,0.590104,0.015704,0.783854,0.010362,0.481799,0.000357,0.003171,3.5e-05,0.0,0.0,0.924814,0.008314,10
oracle_containment_supervisor,0.3,1.0,0.0,0.915278,0.00661,0.704167,0.013093,0.01875,0.002992,0.001736,0.001014,0.001562,0.000794,0.001562,0.000794,0.001736,0.001014,0.100521,0.007235,0.590104,0.015704,0.783854,0.010362,0.481799,0.000357,0.003171,3.5e-05,0.0,0.0,0.924814,0.008314,10
proposed_hierarchical_failure_containment_graph_v4,0.12,0.702604,0.002916,0.525,0.009813,0.405903,0.012679,0.089931,0.005435,0.020833,0.004026,0.02743,0.004052,0.007465,0.002095,0.032639,0.004416,0.422917,0.007302,0.337326,0.007011,0.63993,0.011514,0.61084,0.000492,0.025015,0.000135,0.390278,0.014201,0.219025,0.010685,10
proposed_hierarchical_failure_containment_graph_v4,0.18,0.957291,0.001538,0.7125,0.011625,0.545139,0.017934,0.089931,0.005435,0.020833,0.004026,0.02743,0.004052,0.007465,0.002095,0.032639,0.004416,0.237326,0.007643,0.451215,0.004744,0.63993,0.011514,0.61084,0.000492,0.025015,0.000135,0.202778,0.014542,0.516888,0.015846,10
proposed_hierarchical_failure_containment_graph_v4,0.24,1.0,0.0,0.746181,0.012204,0.567708,0.01639,0.089931,0.005435,0.020833,0.004026,0.02743,0.004052,0.007465,0.002095,0.032639,0.004416,0.209548,0.007387,0.467014,0.005739,0.63993,0.011514,0.61084,0.000492,0.025015,0.000135,0.169097,0.015413,0.567622,0.015432,10
proposed_hierarchical_failure_containment_graph_v4,0.3,1.0,0.0,0.746181,0.012204,0.567708,0.01639,0.089931,0.005435,0.020833,0.004026,0.02743,0.004052,0.007465,0.002095,0.032639,0.004416,0.209548,0.007387,0.467014,0.005739,0.63993,0.011514,0.61084,0.000492,0.025015,0.000135,0.169097,0.015413,0.567622,0.015432,10
reactive_retry_recovery,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.236632,0.009915,0.139062,0.004689,0.149132,0.010327,0.075868,0.0069,0.091146,0.00796,1.0,0.0,0.0,0.0,0.354688,0.020511,0.82625,0.000329,0.106999,0.000134,0.915278,0.00661,-0.99571,0.008487,10
reactive_retry_recovery,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.236632,0.009915,0.139062,0.004689,0.149132,0.010327,0.075868,0.0069,0.091146,0.00796,1.0,0.0,0.0,0.0,0.354688,0.020511,0.82625,0.000329,0.106999,0.000134,0.915278,0.00661,-0.99331,0.008487,10
reactive_retry_recovery,0.24,0.03125,0.001435,0.01684,0.001832,0.010591,0.001184,0.236632,0.009915,0.139062,0.004689,0.149132,0.010327,0.075868,0.0069,0.091146,0.00796,0.979167,0.003168,0.01059,0.001475,0.354688,0.020511,0.82625,0.000329,0.106999,0.000134,0.898438,0.006715,-0.964233,0.008888,10
reactive_retry_recovery,0.3,0.309896,0.002881,0.173611,0.00771,0.097917,0.005153,0.236632,0.009915,0.139062,0.004689,0.149132,0.010327,0.075868,0.0069,0.091146,0.00796,0.796875,0.005368,0.106597,0.006539,0.354688,0.020511,0.82625,0.000329,0.106999,0.000134,0.741667,0.010854,-0.707718,0.008031,10
recovery_budgeted_controller,0.12,0.237847,0.00409,0.163368,0.004982,0.116146,0.00302,0.128819,0.006452,0.061979,0.006844,0.059201,0.004851,0.027951,0.006325,0.040625,0.00581,0.806944,0.004726,0.113715,0.007731,0.555556,0.012752,0.691541,0.000355,0.037599,5.9e-05,0.75191,0.009387,-0.470155,0.010516,10
recovery_budgeted_controller,0.18,0.646701,0.002836,0.431424,0.007425,0.315625,0.010901,0.128819,0.006452,0.061979,0.006844,0.059201,0.004851,0.027951,0.006325,0.040625,0.00581,0.501736,0.007209,0.289583,0.009951,0.555556,0.012752,0.691541,0.000355,0.037599,5.9e-05,0.483854,0.010544,-0.026047,0.011192,10
recovery_budgeted_controller,0.24,0.923785,0.00186,0.614062,0.008519,0.44618,0.01977,0.128819,0.006452,0.061979,0.006844,0.059201,0.004851,0.027951,0.006325,0.040625,0.00581,0.321528,0.008841,0.399479,0.011415,0.555556,0.012752,0.691541,0.000355,0.037599,5.9e-05,0.301216,0.012293,0.261688,0.015911,10
recovery_budgeted_controller,0.3,0.999653,0.000454,0.664583,0.009029,0.480382,0.019169,0.128819,0.006452,0.061979,0.006844,0.059201,0.004851,0.027951,0.006325,0.040625,0.00581,0.278472,0.008611,0.428646,0.009066,0.555556,0.012752,0.691541,0.000355,0.037599,5.9e-05,0.250694,0.01157,0.337648,0.015562,10
risk_calibrated_hierarchical_containment_v5,0.12,1.0,0.0,0.838542,0.009215,0.653472,0.010058,0.040104,0.006012,0.001736,0.001014,0.002257,0.001347,0.002604,0.001268,0.003125,0.001323,0.143923,0.006139,0.549132,0.012873,0.716146,0.011888,0.531164,0.000393,0.003298,4.5e-05,0.076736,0.011261,0.788192,0.010799,10
risk_calibrated_hierarchical_containment_v5,0.18,1.0,0.0,0.838542,0.009215,0.653472,0.010058,0.040104,0.006012,0.001736,0.001014,0.002257,0.001347,0.002604,0.001268,0.003125,0.001323,0.143923,0.006139,0.549132,0.012873,0.716146,0.011888,0.531164,0.000393,0.003298,4.5e-05,0.076736,0.011261,0.790593,0.010799,10
risk_calibrated_hierarchical_containment_v5,0.24,1.0,0.0,0.838542,0.009215,0.653472,0.010058,0.040104,0.006012,0.001736,0.001014,0.002257,0.001347,0.002604,0.001268,0.003125,0.001323,0.143923,0.006139,0.549132,0.012873,0.716146,0.011888,0.531164,0.000393,0.003298,4.5e-05,0.076736,0.011261,0.791392,0.010799,10
risk_calibrated_hierarchical_containment_v5,0.3,1.0,0.0,0.838542,0.009215,0.653472,0.010058,0.040104,0.006012,0.001736,0.001014,0.002257,0.001347,0.002604,0.001268,0.003125,0.001323,0.143923,0.006139,0.549132,0.012873,0.716146,0.011888,0.531164,0.000393,0.003298,4.5e-05,0.076736,0.011261,0.791392,0.010799,10
robust_mpc_fallback,0.12,0.040104,0.002609,0.024306,0.002485,0.019618,0.001968,0.172049,0.011483,0.082465,0.005986,0.093056,0.007796,0.043229,0.004824,0.055729,0.005184,0.968576,0.003777,0.01632,0.003836,0.47309,0.00739,0.721152,0.00047,0.051118,8.7e-05,0.890972,0.006125,-0.787337,0.01175,10
robust_mpc_fallback,0.18,0.355208,0.006112,0.224479,0.00886,0.167187,0.010322,0.172049,0.011483,0.082465,0.005986,0.093056,0.007796,0.043229,0.004824,0.055729,0.005184,0.733854,0.008305,0.147222,0.010698,0.47309,0.00739,0.721152,0.00047,0.051118,8.7e-05,0.690799,0.013222,-0.452133,0.013154,10
robust_mpc_fallback,0.24,0.713194,0.003319,0.446181,0.012195,0.325347,0.010386,0.172049,0.011483,0.082465,0.005986,0.093056,0.007796,0.043229,0.004824,0.055729,0.005184,0.48559,0.005695,0.286111,0.013675,0.47309,0.00739,0.721152,0.00047,0.051118,8.7e-05,0.469097,0.017035,-0.089101,0.018218,10
robust_mpc_fallback,0.3,0.944965,0.002327,0.583507,0.015639,0.417535,0.009384,0.172049,0.011483,0.082465,0.005986,0.093056,0.007796,0.043229,0.004824,0.055729,0.005184,0.341146,0.007249,0.370486,0.015677,0.47309,0.00739,0.721152,0.00047,0.051118,8.7e-05,0.331771,0.019819,0.130256,0.018722,10
uncertainty_halt_policy,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.22066,0.005084,0.123785,0.009572,0.147049,0.006457,0.078299,0.005682,0.071701,0.005049,1.0,0.0,0.0,0.0,0.395833,0.007609,0.824613,0.000298,0.063648,0.000101,0.915278,0.00661,-0.97017,0.009407,10
uncertainty_halt_policy,0.18,0.017535,0.002403,0.010417,0.001682,0.005555,0.001111,0.22066,0.005084,0.123785,0.009572,0.147049,0.006457,0.078299,0.005682,0.071701,0.005049,0.986806,0.002741,0.00625,0.002164,0.395833,0.007609,0.824613,0.000298,0.063648,0.000101,0.904861,0.007555,-0.950263,0.0095,10
uncertainty_halt_policy,0.24,0.225347,0.002769,0.12691,0.005636,0.081944,0.003789,0.22066,0.005084,0.123785,0.009572,0.147049,0.006457,0.078299,0.005682,0.071701,0.005049,0.845139,0.005242,0.072222,0.003448,0.395833,0.007609,0.824613,0.000298,0.063648,0.000101,0.788368,0.009318,-0.755165,0.010176,10
uncertainty_halt_policy,0.3,0.571007,0.003266,0.318055,0.015459,0.198438,0.009504,0.22066,0.005084,0.123785,0.009572,0.147049,0.006457,0.078299,0.005682,0.071701,0.005049,0.620139,0.011431,0.180382,0.010364,0.395833,0.007609,0.824613,0.000298,0.063648,0.000101,0.597222,0.013808,-0.440715,0.020633,10
